Emotional Content,Recollection Accuracy,Visitor Empathy,Patient Interaction Level,Visitor Frequency,Recognized Visitor,Type of Relation,LDA Topic Relevance,Facial Expressions,Trust Rating
1,5,4,3,1,0,2,5,4,68
5,5,3,4,3,0,3,4,5,80
2,3,3,4,2,0,1,5,4,62
4,4,5,5,3,1,3,4,5,94
3,3,2,3,2,1,2,3,3,56
2,2,3,2,1,1,1,4,2,38
5,4,5,4,3,1,3,5,5,90
1,4,4,4,2,0,2,5,3,71
3,5,4,5,3,1,3,5,4,92
2,5,3,4,3,0,3,4,4,76
4,4,4,4,3,1,3,5,4,86
3,4,5,4,2,1,2,4,5,81
5,2,4,3,2,0,2,4,4,66
4,3,4,3,2,1,2,4,3,70
1,4,3,4,2,1,2,4,3,65
3,5,3,5,3,1,3,5,4,84
4,5,3,5,3,1,3,4,5,89
2,2,2,2,1,1,1,3,2,36
3,3,2,2,2,1,2,3,3,52
2,3,3,3,2,0,1,4,3,56
4,4,4,4,2,1,2,4,4,76
5,4,5,5,3,1,3,5,5,94
1,3,3,3,2,1,2,4,2,54
4,2,4,3,3,1,3,5,3,75
3,2,3,3,3,0,2,4,4,60
2,3,2,2,2,1,1,4,2,44
5,4,4,5,3,0,3,4,4,80
4,3,5,4,2,0,2,4,4,74
1,5,4,4,1,1,3,4,4,68
5,3,4,4,3,0,3,4,4,76
2,2,3,2,1,0,1,4,2,40
3,3,4,3,2,0,2,3,4,64
4,4,4,4,2,1,2,5,4,78
1,3,3,3,1,0,2,5,2,52
5,4,4,5,3,1,3,5,5,92
2,2,2,2,1,0,1,3,2,36
3,3,4,3,2,1,2,3,3,60
4,4,5,4,3,0,3,4,4,80
5,2,4,4,2,1,2,5,3,68
1,5,5,5,3,0,3,5,5,90
5,3,4,5,3,0,3,4,4,78
2,2,2,2,2,0,1,4,2,40
3,4,4,4,2,1,2,4,4,72
4,5,5,4,2,1,2,5,4,84
1,4,4,4,2,0,2,5,2,66
5,4,5,5,3,1,3,5,5,94
2,2,3,3,2,1,1,3,2,48
3,4,4,4,3,0,2,4,4,72
4,5,5,5,3,1,3,5,5,95
1,4,4,3,2,0,2,4,3,62
5,3,4,5,2,1,1,4,3,70
2,2,2,2,1,0,1,3,2,36
3,3,2,2,2,0,2,3,3,48
4,4,4,4,2,0,2,4,4,72
1,3,3,3,1,1,2,5,2,54
5,4,5,4,3,1,3,5,5,90
2,2,3,2,1,1,1,4,2,44
3,4,4,4,2,1,2,4,4,76
4,5,5,5,3,1,3,5,5,95
1,3,3,3,2,0,2,5,2,56
5,4,4,5,3,1,3,4,5,88
2,2,3,2,2,0,1,4,2,44
3,4,3,3,2,1,2,3,3,60
4,4,4,4,3,0,2,4,4,76
1,3,2,3,1,1,2,5,2,50
5,4,4,4,3,1,3,5,4,84
2,2,2,2,1,0,1,3,2,36
3,3,3,3,2,1,2,3,3,60
4,4,5,4,3,1,3,5,4,86
1,4,4,3,2,0,2,5,2,66
5,3,5,5,3,1,3,4,5,88
2,1,2,2,2,1,1,3,2,38
3,1,2,3,1,0,2,3,3,42
4,3,3,4,2,1,2,4,3,70
1,5,4,4,2,1,2,5,3,73
5,3,4,5,2,1,2,4,4,72
2,3,4,3,1,0,1,4,3,54
3,3,4,3,3,0,2,3,4,64
4,4,4,5,3,1,3,5,4,86
1,3,3,2,2,1,2,4,2,52
5,5,5,5,3,1,3,5,5,96
2,2,3,3,2,1,1,3,2,48
3,2,3,3,2,1,2,3,3,56
4,4,4,4,3,0,2,4,4,76
1,4,4,3,2,1,2,4,3,65
5,3,5,5,3,1,3,5,5,88
2,2,2,2,1,0,1,3,2,36
1,2,4,3,3,1,3,4,3,77
3,4,5,4,2,1,2,3,4,91
2,5,3,2,3,0,2,4,5,93
1,1,2,4,1,1,1,2,2,61
4,5,5,5,3,1,3,5,5,100
5,3,4,4,2,1,3,3,4,89
3,2,3,3,3,0,2,4,4,77
4,4,4,5,2,1,3,4,4,91
3,5,5,4,3,1,3,4,5,96
2,3,3,2,2,1,2,2,3,67
5,4,5,5,3,1,3,5,5,100
4,5,5,4,2,0,3,5,4,91
1,1,4,2,2,1,1,3,2,61
3,3,5,3,2,1,3,3,3,86
